Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NG 5.1	5	14	N	U	G	R	NA	i	i																										
NG 5.1	5	15	N	U	G	R	NA	i	i																										
NG 5.1	5	16	N	U	G	R	98.839	i	i																										
NG 5.1	5	17	N	U	G	R	NA	i	i																										
NG 5.1	5	18	N	U	G	R	95.203	i4	i5																										
NG 5.1	5	19	N	U	G	R	104.614	5	as																										
NG 5.1	5	20	N	U	G	R	NA	5	as																										
NG 5.1	5	21	N	U	G	R	168.372	5	as																										
NG 5.1	5	22	N	U	G	R	NA	5	as																										
NG 5.1	5	23	N	U	G	R	NA	5	as																										
NG 5.1	5	24	N	U	G	R	353.317	5	as																										
NG 5.1	5	25	N	U	G	R	NA	5	as																										
NG 5.1	5	26	N	U	G	R	NA	5	as																										
NG 5.1	5	P	N	U	G	R	273.22	P	P																										
NG 5.2	5	1	N	U	G	R	0.246	i	i																										
NG 5.2	5	2	N	U	G	R	NA	i	i																										
NG 5.2	5	3	N	U	G	R	NA	i	i																										
NG 5.2	5	4	N	U	G	R	0.866	i	i																										
NG 5.2	5	5	N	U	G	R	NA	i	i																										
NG 5.2	5	6	N	U	G	R	1.592	i	i																										
NG 5.2	5	7	N	U	G	R	NA	i	i																										
NG 5.2	5	8	N	U	G	R	4.656	i	i																										
NG 5.2	5	9	N	U	G	R	NA	i	i																										
NG 5.2	5	10	N	U	G	R	NA	i	i																										
NG 5.2	5	11	N	U	G	R	13.177	i	i																										
NG 5.2	5	12	N	U	G	R	NA	i	i																										
NG 5.2	5	13	N	U	G	R	NA	i	i																										
NG 5.2	5	14	N	U	G	R	NA	i	i																										
NG 5.2	5	15	N	U	G	R	NA	i	i																										
NG 5.2	5	16	N	U	G	R	110.201	i	i																										
NG 5.2	5	17	N	U	G	R	NA	i	i																										
NG 5.2	5	18	N	U	G	R	156.032	5	i5																										
NG 5.2	5	19	N	U	G	R	178.924	5	as																										
NG 5.2	5	20	N	U	G	R	NA	5	as																										
NG 5.2	5	21	N	U	G	R	316.563	5	as																										
NG 5.2	5	22	N	U	G	R	NA	5	as																										
NG 5.2	5	23	N	U	G	R	NA	5	as																										
NG 5.2	5	24	N	U	G	R	334.865	5	as																										
NG 5.2	5	P	N	U	G	R	287.166	P	P																										
NS 1.1	1	1	N	U	S	S	0.217	i	i																										
NS 1.1	1	2	N	U	S	S	0.336	i	i																										
NS 1.1	1	3	N	U	S	S	0.551	i	i																										
NS 1.1	1	4	N	U	S	S	1.351	i	i																										
NS 1.1	1	5	N	U	S	S	1.475	i	i																										
NS 1.1	1	6	N	U	S	S	NA	i	i																										
NS 1.1	1	7	N	U	S	S	3.112	i	i																										
NS 1.1	1	8	N	U	S	S	6.168	i	i																										
NS 1.1	1	9	N	U	S	S	5.758	i	i																										
NS 1.1	1	10	N	U	S	S	9.323	i	i																										
